"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","vaccines"
2020-01-25,4,0,0,0,0,0,0,0,0
2020-01-26,4,0,0,0,0,0,0,0,0
2020-01-27,5,0,0,0,0,0,0,0,0
2020-01-28,5,0,0,0,0,0,0,0,0
2020-01-29,9,0,0,0,0,0,0,0,0
2020-01-30,9,0,0,0,0,0,0,0,0
2020-01-31,9,0,0,0,0,0,0,0,0
2020-02-01,10,0,0,0,0,0,0,0,0
2020-02-02,12,0,0,0,0,0,0,0,0
2020-02-03,12,0,0,0,0,0,0,0,0
2020-02-04,13,0,0,0,0,0,0,0,0
2020-02-05,14,0,0,0,0,0,0,0,0
2020-02-06,15,0,0,0,0,0,0,0,0
2020-02-07,15,0,0,0,0,0,0,0,0
2020-02-08,15,0,0,0,0,0,0,0,0
2020-02-09,15,0,0,0,0,0,0,0,0
2020-02-10,15,0,0,0,0,0,0,0,0
2020-02-11,15,0,0,0,0,0,0,0,0
2020-02-12,15,0,0,0,0,0,0,0,0
2020-02-13,15,0,0,0,0,0,0,0,0
2020-02-14,15,0,0,0,0,0,0,0,0
2020-02-15,15,0,0,0,0,0,0,0,0
2020-02-16,15,0,0,0,0,0,0,0,0
2020-02-17,15,0,0,0,0,0,0,0,0
2020-02-18,15,0,0,0,0,0,0,0,0
2020-02-19,15,0,0,0,0,0,0,0,0
2020-02-20,15,0,0,0,0,0,0,0,0
2020-02-21,19,0,0,0,0,0,0,0,0
2020-02-22,20,0,0,0,0,0,0,0,0
2020-02-23,20,0,0,0,0,0,0,0,0
2020-02-24,20,0,0,0,0,0,0,0,0
2020-02-25,20,0,0,0,0,0,0,0,0
2020-02-26,20,0,0,0,0,0,0,0,0
2020-02-27,23,0,0,0,0,0,0,0,0
2020-02-28,25,0,0,0,0,0,0,0,0
2020-02-29,25,0,0,0,0,0,0,0,0
2020-03-01,28,1,0,14,0,0,0,0,0
2020-03-02,32,1,0,14,0,0,0,0,0
2020-03-03,40,1,0,16,0,0,0,0,0
2020-03-04,51,2,0,19,0,0,0,0,0
2020-03-05,59,2,0,24,0,0,0,0,0
2020-03-06,63,2,0,25,0,0,0,0,0
2020-03-07,73,2,7214,26,0,0,0,0,0
2020-03-08,80,3,8008,28,0,0,0,0,0
2020-03-09,92,3,8371,30,0,0,0,0,0
2020-03-10,112,3,10165,33,0,0,0,0,0
2020-03-11,127,3,10221,41,0,0,0,0,0
2020-03-12,157,3,14856,52,0,0,0,0,0
2020-03-13,198,4,16685,70,0,0,0,0,0
2020-03-14,249,4,20496,88,0,0,0,0,0
2020-03-15,297,6,22567,106,0,0,0,0,0
2020-03-16,376,6,38664,134,0,0,0,0,0
2020-03-17,454,6,44444,150,0,0,0,0,0
2020-03-18,567,7,51000,179,0,0,0,0,0
2020-03-19,709,7,83333,252,28,0,0,0,0
2020-03-20,847,8,91399,316,39,0,0,0,0
2020-03-21,1072,8,100284,407,51,0,0,0,0
2020-03-22,1352,8,109286,523,70,0,0,0,0
2020-03-23,1680,8,115643,656,97,0,0,0,0
2020-03-24,2050,9,123200,821,113,0,0,0,0
2020-03-25,2430,10,156086,935,129,0,0,0,0
2020-03-26,2809,14,176505,1070,151,0,0,0,0
2020-03-27,3180,14,192784,1201,204,0,0,0,0
2020-03-28,3640,15,208035,1338,223,0,0,0,0
2020-03-29,3984,17,223514,1424,225,0,0,0,0
2020-03-30,4250,19,231168,1511,291,0,0,0,0
2020-03-31,4561,20,242924,1612,345,32,6,0,0
2020-04-01,4864,21,256953,1714,418,400,76,33,0
2020-04-02,5137,25,266897,1803,572,415,81,32,0
2020-04-03,5362,29,275372,1888,635,410,86,32,0
2020-04-04,5552,31,284891,1944,686,460,92,33,0
2020-04-05,5693,36,297144,1978,788,460,96,33,0
2020-04-06,5799,41,302663,2004,849,458,96,35,0
2020-04-07,5918,49,310700,2041,2549,305,93,37,0
2020-04-08,6023,51,319368,2077,2815,263,87,36,0
2020-04-09,6108,52,330134,2107,2989,262,81,36,0
2020-04-10,6214,55,338346,2151,3142,236,74,38,0
2020-04-11,6302,57,347847,2180,3266,240,80,38,0
2020-04-12,6324,60,353941,2202,3338,239,81,35,0
2020-04-13,6365,62,362136,2221,3494,227,79,46,0
2020-04-14,6414,63,366493,2253,3598,230,80,44,0
2020-04-15,6637,64,371377,2263,3688,214,73,42,0
2020-04-16,6667,64,380003,2280,3747,201,67,38,0
2020-04-17,6714,66,391530,2297,3819,192,60,38,0
2020-04-18,6756,69,406510,2312,4163,184,56,34,0
2020-04-19,6800,71,420996,2326,4230,178,48,33,0
2020-04-20,6813,72,431734,2332,4258,170,49,32,0
2020-04-21,6835,72,439842,2341,4695,167,47,33,0
2020-04-22,6842,75,452441,2346,4935,162,47,31,0
2020-04-23,6850,76,466659,2348,5045,152,46,29,0
2020-04-24,6867,79,482370,2353,5136,139,42,28,0
2020-04-25,6885,81,494257,2356,5373,129,43,28,0
2020-04-26,6904,84,506449,2364,5541,115,43,25,0
2020-04-27,6911,84,517063,2369,5588,113,44,27,0
2020-04-28,6923,85,530679,2374,5630,110,43,27,0
2020-04-29,6936,90,544410,2377,5670,94,38,26,0
2020-04-30,6944,92,563641,2378,5717,89,34,22,0
2020-05-01,6957,94,588868,2378,5747,83,29,21,0
2020-05-02,6972,94,611583,2381,5796,79,28,21,0
2020-05-03,6990,96,633107,2382,5817,75,28,20,0
2020-05-04,7014,96,650214,2386,5863,70,28,20,0
2020-05-05,7040,98,664756,2393,5890,66,27,20,0
2020-05-06,7064,98,688656,2393,5979,62,27,18,0
2020-05-07,7086,98,722549,2398,6038,58,23,17,0
2020-05-08,7104,98,757250,2399,6084,56,21,16,0
2020-05-09,7118,98,795456,2399,6137,51,19,15,0
2020-05-10,7130,98,827872,2399,6166,43,18,15,0
2020-05-11,7137,98,855119,2399,6182,49,16,14,0
2020-05-12,7157,98,877927,2406,6233,47,16,15,0
2020-05-13,7168,99,909025,2406,6274,50,17,14,0
2020-05-14,7183,99,943299,2408,6299,51,18,13,0
2020-05-15,7214,99,983816,2411,6336,47,18,13,0
2020-05-16,7231,99,1015652,2414,6366,49,16,12,0
2020-05-17,7239,99,1042126,2414,6369,50,16,12,0
2020-05-18,7248,100,1062034,2416,6396,45,12,7,0
2020-05-19,7256,100,1085870,2416,6415,47,11,7,0
2020-05-20,7267,101,1111567,2417,6445,44,9,7,0
2020-05-21,7269,101,1137684,2417,6472,41,9,7,0
2020-05-22,7283,102,1170682,2417,6480,40,7,6,0
2020-05-23,7296,103,1192262,2419,6492,36,5,5,0
